Sample,Enrichment (%),Flux,Burnup
1,58.40680793447628,6.942270110424867,4.244971198969797e-08
2,52.33359882759626,7.0437519345375526,4.112455429751301e-08
3,29.101191044815074,7.587164956234502,3.970577706351896e-08
4,14.24664937021242,8.251271336376746,3.7995511512725015e-08
5,73.64252997,6.725006206260509,4.365448795885989e-08
6,38.51640085323838,7.347915371476729,4.0314837091079195e-08
7,42.94840241298694,7.227380395443291,4.023752100983205e-08
8,36.30867636228553,7.402758586125997,4.0434154249652895e-08
9,54.51655110068682,6.995779509526158,4.186676809796434e-08
10,73.72222384546713,6.694433826541756,4.2754997774306166e-08
11,17.065889696853993,8.074369448,3.7305638068086474e-08
12,22.476870408312227,7.830789035675543,3.917496334770804e-08
13,73.3436394,6.696567967586795,4.3394225559223765e-08
14,28.987564555658615,7.617333429599894,3.973220159971552e-08
15,34.577368028706694,7.428389414331347,4.006627227575813e-08
16,36.436331502454365,7.3859406750518435,4.04682834934945e-08
17,69.84657235032118,6.747173726507478,4.3200988528715637e-08
18,31.50319774198197,7.526767779188175,3.946941610777049e-08
19,42.708741190374944,7.243484429885894,4.0814965118060263e-08
20,28.034184289719736,7.640220511169906,3.935574645369031e-08
21,65.20293635915743,6.8063461387694915,4.224228143657342e-08
22,85.79130957127246,6.536927920328322,4.369542590222415e-08
23,23.568587158024503,7.7807673059917715,3.868803821969831e-08
24,47.30564117925047,7.130550721975373,4.123327181460206e-08
25,33.91686365005361,7.448096488466733,4.013524445964353e-08
26,26.98773114576548,7.638608956339001,3.965356877220986e-08
27,81.66872944,6.589265404,4.403044321601603e-08
28,84.89082325401527,6.571698764586775,4.3968112597342944e-08
29,70.63880976998108,6.764412193575721,4.338678172040605e-08
30,76.86798885944496,6.650858673101583,4.3992017544073326e-08
31,41.54593062085041,7.262862734636532,4.117498273440194e-08
32,7.913793024494185,8.812205275769305,3.4779672066442805e-08
33,55.37632587762174,6.964205284369542,4.211080716443989e-08
34,62.316396095101396,6.871281822033387,4.195268618607607e-08
35,17.758519591044628,8.059408454,3.827636145016078e-08
36,81.97289331243293,6.591383548050661,4.364563751272454e-08
37,36.70925509696477,7.3757719062768174,4.0413980560060164e-08
38,78.81038685369296,6.623131049287328,4.373440008185458e-08
39,70.46869296175946,6.742536931880558,4.252561069612794e-08
40,12.26522893945014,8.380161477537577,3.6590735469102614e-08
41,71.54719071,6.722752643594926,4.293895279251855e-08
